女,7,3,是,书房,舒适,舒适,很舒适,舒适,有,我坐着时侧对着窗,流畅,台式电脑,关心,几乎从不,很少,很少,很少,很少,经常,经常,很少,有时候,有时候,经常,有时候,有时候,有时候,有时候,有时候,有时候,有时候,很少,有时候,有时候,有时候,有时候,几乎总是,经常,经常
女,7,3,是,我自己的卧室,舒适,很舒适,一般,舒适,有,我坐着时侧对着窗,流畅,平板,关心,经常,从不,几乎从不,经常,经常,经常,有时候,经常,经常,经常,几乎总是,总是,几乎总是,经常,经常,有时候,经常,经常,经常,经常,经常,几乎总是,几乎总是,几乎总是,几乎总是,几乎总是
女,7,4,是,书房,舒适,很舒适,舒适,舒适,有,我坐着时侧对着窗,有点流畅,笔记本电脑,很关心,经常,有时候,有时候,经常,经常,几乎总是,经常,几乎总是,几乎总是,总是,总是,总是,总是,几乎总是,几乎总是,总是,总是,总是,总是,总是,几乎总是,有时候,有时候,几乎总是,几乎总是,几乎总是
女,7,5,是,书房,舒适,舒适,舒适,舒适,有,我坐着时面对窗,流畅,台式电脑,关心,经常,有时候,有时候,有时候,有时候,有时候,总是,很少,几乎总是,有时候,经常,总是,经常,几乎总是,几乎总是,几乎总是,几乎总是,几乎总是,几乎总是,几乎总是,几乎总是,有时候,有时候,几乎总是,几乎总是,几乎总是
女,7,6,是,我自己的卧室,舒适,有点舒适,有点舒适,舒适,有,我坐着时侧对着窗,有点流畅,笔记本电脑,关心,有时候,几乎从不,从不,有时候,有时候,有时候,经常,几乎从不,几乎从不,经常,几乎总是,几乎总是,几乎总是,经常,几乎总是,几乎总是,经常,几乎总是,几乎总是,经常,经常,有时候,有时候,几乎总是,几乎总是,几乎总是
男,7,4,否,其它地方,舒适,一般,舒适,舒适,有,我坐着时侧对着窗,流畅,台式电脑,很关心,有时候,有时候,很少,很少,有时候,有时候,总是,有时候,经常,经常,经常,经常,经常,总是,经常,经常,有时候,有时候,很少,经常,有时候,有时候,很少,有时候,很少,有时候
女,7,4,是,我自己的卧室,舒适,舒适,很舒适,很舒适,有,我坐着时侧对着窗,很流畅,笔记本电脑,很关心,经常,有时候,很少,有时候,有时候,有时候,总是,总是,总是,总是,总是,总是,总是,几乎总是,几乎总是,总是,经常,经常,有时候,几乎总是,经常,经常,很少,几乎总是,几乎总是,几乎总是
女,7,5,是,书房,舒适,有点舒适,舒适,舒适,有,我坐着时面对窗,有点不流畅,笔记本电脑,很关心,经常,几乎从不,经常,总是,经常,总是,几乎总是,总是,总是,总是,总是,总是,总是,几乎总是,几乎总是,经常,总是,总是,总是,总是,总是,总是,几乎总是,总是,总是,总是
女,7,3,是,书房,舒适,舒适,舒适,舒适,有,我坐着时侧对着窗,有点不流畅,笔记本电脑,关心,很少,很少,有时候,有时候,很少,经常,有时候,很少,经常,有时候,经常,有时候,有时候,经常,经常,经常,经常,经常,有时候,有时候,经常,有时候,有时候,几乎总是,经常,有时候
男,7,4,是,书房,一般,一般,舒适,舒适,有,我坐着时面对窗,有点不流畅,笔记本电脑,关心,经常,有时候,有时候,经常,经常,经常,有时候,有时候,有时候,经常,经常,经常,经常,几乎总是,经常,几乎总是,几乎总是,经常,经常,经常,经常,有时候,有时候,经常,有时候,经常
男,7,4,是,我自己的卧室,舒适,舒适,舒适,舒适,有,我坐着时面对窗,流畅,笔记本电脑,关心,有时候,经常,很少,很少,很少,总是,总是,几乎总是,总是,总是,总是,总是,总是,几乎总是,经常,总是,几乎总是,经常,总是,经常,经常,经常,总是,总是,总是,总是
男,7,3,是,客厅,舒适,一般,舒适,舒适,有,我坐着时侧对着窗,一般,台式电脑,很关心,几乎总是,有时候,很少,几乎从不,有时候,很少,有时候,很少,经常,经常,总是,总是,总是,总是,总是,总是,总是,总是,总是,总是,总是,总是,经常,总是,总是,总是
男,7,6,是,我自己的卧室,舒适,很舒适,很舒适,很舒适,有,我坐着时侧对着窗,流畅,笔记本电脑,关心,很少,很少,从不,有时候,有时候,很少,经常,几乎从不,很少,经常,经常,经常,经常,经常,经常,有时候,经常,经常,有时候,有时候,有时候,很少,几乎从不,经常,有时候,经常
男,7,5,是,我自己的卧室,舒适,有点舒适,舒适,舒适,有,我坐着时面对窗,流畅,笔记本电脑,关心,很少,从不,从不,有时候,有时候,有时候,几乎总是,经常,很少,经常,经常,经常,有时候,经常,几乎总是,经常,几乎总是,有时候,有时候,经常,很少,很少,很少,几乎总是,几乎总是,几乎总是
